n,Iterative C,Recursive C,Dynamic Programming C,Iterative P,Recursive P,Dynamic Programming P
362001,-,0.00802,0.00749,46.04077,46.29995,47.96583
363001,-,0.00751,0.00700,48.00768,48.48502,46.72221
364001,-,0.00801,0.00749,46.33379,46.54298,46.43489
365001,-,0.00800,0.00651,48.99011,48.87053,48.88222
366001,-,0.00801,0.00749,49.41872,49.04181,47.20223
367001,-,0.00800,0.00650,49.67394,48.60805,47.31835
368001,-,0.00750,0.00700,47.60720,49.15302,47.53690
369001,-,0.00750,0.00750,50.68167,50.51702,48.01822
370001,-,0.00750,0.00700,50.67789,50.47023,50.93110
371001,-,0.00801,0.00650,48.89282,50.53996,49.15160
372001,-,0.00799,0.00700,51.39801,50.30306,50.73487
373001,-,0.00850,0.00750,49.26049,51.82127,51.62790
374001,-,0.00800,0.00700,51.26084,49.67352,49.33367
375001,-,0.00701,0.00650,49.91829,50.06181,49.92591
376001,-,0.00701,0.00650,50.26905,55.11150,51.82344
377001,-,0.00902,0.00700,53.24256,52.89563,50.48751
378001,-,0.00750,0.00750,55.59262,51.39621,53.55113
379001,-,0.00750,0.00700,54.90689,54.56650,54.49052
380001,-,0.00701,0.00750,54.08036,54.09187,52.54664
381001,-,0.00900,0.00650,55.02582,52.49031,55.18003
382001,-,0.00900,0.00700,55.47870,52.56390,55.78540
383001,-,0.00700,0.00750,53.67510,55.67098,53.97887
384001,-,0.00850,0.00700,53.02320,55.95266,54.27507
385001,-,0.00701,0.00650,54.57786,54.93906,56.65314
386001,-,0.00750,0.00750,54.79389,56.99140,57.68671
387001,-,0.00700,0.00700,55.11364,57.97114,55.26592
388001,-,0.00700,0.00650,55.66570,54.67652,58.05935
389001,-,0.00800,0.00700,57.33384,57.85564,55.24495
390001,-,0.00850,0.00700,55.43415,57.71006,55.91204
391001,-,0.00700,0.00702,56.93037,56.45219,59.15336
392001,-,0.00750,0.00700,56.58655,-,59.87013
393001,-,0.00700,0.00750,57.22566,-,57.50596
394001,-,0.00900,0.00700,56.84756,-,-
395001,-,0.00850,0.00701,-,-,-
396001,-,0.00950,0.00650,-,-,-
397001,-,0.00650,0.00650,-,-,-
398001,-,0.00650,0.00651,-,-,-
399001,-,0.00650,0.00701,-,-,-
