n,Iterative C,Recursive C,Dynamic Programming C,Iterative P,Recursive P,Dynamic Programming P
261,-,0.00550,0.00550,0.04851,0.04950,0.04851
262,-,0.00550,0.00550,0.04900,0.04901,0.04900
263,-,0.00550,0.00550,0.04951,0.04950,0.04801
264,-,0.00550,0.00550,0.04850,0.04901,0.04850
265,-,0.00600,0.00550,0.04801,0.04900,0.04901
266,-,0.00550,0.00550,0.04850,0.04901,0.04900
267,-,0.00550,0.00551,0.04900,0.04852,0.04900
268,-,0.00600,0.00500,0.04901,0.05250,0.05001
269,-,0.00600,0.00550,0.05150,0.05051,0.05000
270,-,0.00550,0.00550,0.04851,0.04850,0.04851
271,-,0.00550,0.00550,0.04800,0.04901,0.04801
272,-,0.00550,0.00550,0.04851,0.04900,0.04951
273,-,0.00550,0.00550,0.04751,0.04800,0.04851
274,-,0.00550,0.00550,0.04850,0.04901,0.04850
275,-,0.00550,0.00550,0.04803,0.04800,0.04951
276,-,0.00550,0.00550,0.04950,0.04802,0.04900
277,-,0.00550,0.00550,0.04851,0.04900,0.04851
278,-,0.00550,0.00500,0.04850,0.04951,0.04800
279,-,0.00600,0.00500,0.04901,0.04800,0.04851
280,-,0.00600,0.00552,0.04799,0.04900,0.04901
281,-,0.00550,0.00550,0.04900,0.04902,0.04950
282,-,0.00550,0.00550,0.04801,0.05050,0.04901
283,-,0.00550,0.00550,0.04850,0.04901,0.04850
284,-,0.00550,0.00550,0.04800,0.04950,0.04859
285,-,0.00550,0.00550,0.04851,0.04801,0.04950
286,-,0.00550,0.00601,0.04800,0.04901,0.04901
287,-,0.00550,0.00550,0.05051,0.05200,0.05052
288,-,0.00600,0.00550,0.04950,0.05251,0.05150
289,-,0.00600,0.00550,0.05051,0.04801,0.04851
290,-,0.00600,0.00550,0.04850,0.04851,0.04901
291,-,0.00600,0.00501,0.04800,0.04851,0.04850
292,-,0.00550,0.00550,0.05102,0.05200,0.04851
293,-,0.00650,0.00500,0.04850,0.04801,0.04850
294,-,0.00550,0.00600,0.04851,0.04850,0.04901
295,-,0.00600,0.00501,0.04999,0.04954,0.04850
296,-,0.00552,0.00548,0.04901,0.04800,0.04801
297,-,0.00550,0.00550,0.04901,0.04900,0.04900
298,-,0.00551,0.00550,0.04850,0.04901,0.04900
299,-,0.00550,0.00550,0.04802,0.04850,0.04851
300,-,0.00650,0.00550,0.05100,0.05102,0.05050
301,-,0.00600,0.00601,0.05100,0.05000,0.04901
302,-,0.00550,0.00550,0.04801,0.04900,0.04950
303,-,0.00601,0.00501,0.04849,0.04903,0.04800
304,-,0.00550,0.00550,0.04901,0.04900,0.04851
305,-,0.00600,0.00550,0.05000,0.04951,0.04850
306,-,0.00550,0.00550,0.04851,0.04900,0.04901
307,-,0.00550,0.00550,0.04800,0.04851,0.05100
308,-,0.00601,0.00549,0.04851,0.04851,0.04801
309,-,0.00600,0.00550,0.04751,0.04900,0.04801
310,-,0.00601,0.00500,0.04850,0.04901,0.04850
311,-,0.00550,0.00550,0.04901,0.04900,0.04901
312,-,0.00550,0.00600,0.04800,0.04851,0.04900
313,-,0.00550,0.00550,0.04852,0.04800,0.04801
314,-,0.00600,0.00600,0.04900,0.04901,0.04900
315,-,0.00600,0.00500,0.04801,0.04950,0.04801
316,-,0.00550,0.00550,0.04851,0.04800,0.04901
317,-,0.00600,0.00550,0.04900,0.04902,0.04850
318,-,0.00550,0.00550,0.04901,0.04900,0.04902
319,-,0.00550,0.00550,0.04850,0.04851,0.04900
320,-,0.00600,0.00550,0.04851,0.04800,0.05002
321,-,0.00550,0.00550,0.04800,0.04851,0.04900
322,-,0.00550,0.00550,0.04801,0.04850,0.04851
323,-,0.00600,0.00500,0.04901,0.04850,0.04901
324,-,0.00550,0.00500,0.04800,0.04901,0.05029
